Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
DE_20_R_20DE078_BL_ADL_M__SAMN25042292__R1__d6e262d98ae89fae51e6fff5787b13e0	DE_20_R_20DE078_BL_ADL_M__SAMN25042292__R1__d6e262d98ae89fae51e6fff5787b13e0.fq.gz	Conventional base calls	Sanger / Illumina 1.9	64423651.0	0.0	150.0	44.0	84.85077193822745	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	pass
DE_20_R_20DE078_BL_ADL_M__SAMN25042292__R2__67509e5cd5713300ada5494706f765af	DE_20_R_20DE078_BL_ADL_M__SAMN25042292__R2__67509e5cd5713300ada5494706f765af.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5813357.0	0.0	150.0	44.0	87.93303648647473	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	pass
DE_20_R_20DE078_BL_ADL_M__SAMN25042292__R2__cb4a2e89649e1aa5e903b77d722081a0	DE_20_R_20DE078_BL_ADL_M__SAMN25042292__R2__cb4a2e89649e1aa5e903b77d722081a0.fq.gz	Conventional base calls	Sanger / Illumina 1.9	64423651.0	0.0	150.0	44.0	85.43439889972336	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	pass
DE_20_R_20DE139_BL_ADL_F__SAMN25042293__R1__31c01b19663d5fcd7b6ffd6669d76ee9	DE_20_R_20DE139_BL_ADL_F__SAMN25042293__R1__31c01b19663d5fcd7b6ffd6669d76ee9.fq.gz	Conventional base calls	Sanger / Illumina 1.9	80390439.0	0.0	150.0	44.0	80.65461449154854	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	fail
DE_20_R_20DE139_BL_ADL_F__SAMN25042293__R2__802024c80ab2c4e7c968d78c09f97d62	DE_20_R_20DE139_BL_ADL_F__SAMN25042293__R2__802024c80ab2c4e7c968d78c09f97d62.fq.gz	Conventional base calls	Sanger / Illumina 1.9	80390439.0	0.0	150.0	44.0	81.02057584059278	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	fail
DE_20_R_20DE145_BL_ADL_M__SAMN25042294__R1__2559c64d4b111b84ea69e1d00df11ecc	DE_20_R_20DE145_BL_ADL_M__SAMN25042294__R1__2559c64d4b111b84ea69e1d00df11ecc.fq.gz	Conventional base calls	Sanger / Illumina 1.9	70203147.0	0.0	150.0	43.0	86.40984687606327	150.0	pass	pass	fail	pass	warn	warn	pass	pass	pass	pass	pass	pass
DE_20_R_20DE145_BL_ADL_M__SAMN25042294__R2__b292eb8a0d9c8181fa2abc46e9755407	DE_20_R_20DE145_BL_ADL_M__SAMN25042294__R2__b292eb8a0d9c8181fa2abc46e9755407.fq.gz	Conventional base calls	Sanger / Illumina 1.9	70203147.0	0.0	150.0	43.0	88.79714711592584	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	pass
FI_18_R_18FI002_BL_ADL_M__SAMN25042276__R1__701a5c2c50cd9e1c5e142c9dd18f6ea2	FI_18_R_18FI002_BL_ADL_M__SAMN25042276__R1__701a5c2c50cd9e1c5e142c9dd18f6ea2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	73162272.0	0.0	150.0	43.0	81.72511435919726	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	pass
FI_18_R_18FI002_BL_ADL_M__SAMN25042276__R2__9aa2e32dc0bc2b101ba12883a97b14d4	FI_18_R_18FI002_BL_ADL_M__SAMN25042276__R2__9aa2e32dc0bc2b101ba12883a97b14d4.fq.gz	Conventional base calls	Sanger / Illumina 1.9	73162272.0	0.0	150.0	43.0	83.91038199470684	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	pass
FI_18_R_18FI020_BL_ADL_F__SAMN25042277__R1__4ce907ac76c3a9559c4f8e120e5735c9	FI_18_R_18FI020_BL_ADL_F__SAMN25042277__R1__4ce907ac76c3a9559c4f8e120e5735c9.fq.gz	Conventional base calls	Sanger / Illumina 1.9	73341260.0	0.0	150.0	43.0	82.25012901657166	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	pass
FI_18_R_18FI020_BL_ADL_F__SAMN25042277__R2__21bafaa0b659ecc2a59426e29a856afc	FI_18_R_18FI020_BL_ADL_F__SAMN25042277__R2__21bafaa0b659ecc2a59426e29a856afc.fq.gz	Conventional base calls	Sanger / Illumina 1.9	73341260.0	0.0	150.0	43.0	84.71015078887562	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	pass
FI_18_R_18FI082_BL_ADL_M__SAMN25042278__R1__3737fe6587c5d1fdffd6f9126d25c83f	FI_18_R_18FI082_BL_ADL_M__SAMN25042278__R1__3737fe6587c5d1fdffd6f9126d25c83f.fq.gz	Conventional base calls	Sanger / Illumina 1.9	82738025.0	0.0	150.0	43.0	83.20993120992128	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	pass
FI_18_R_18FI082_BL_ADL_M__SAMN25042278__R2__bdc3d53712714cb6c1f7eae40edea1d7	FI_18_R_18FI082_BL_ADL_M__SAMN25042278__R2__bdc3d53712714cb6c1f7eae40edea1d7.fq.gz	Conventional base calls	Sanger / Illumina 1.9	82738025.0	0.0	150.0	43.0	85.52503919587029	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	pass
FI_19_R_19FI037_BL_ADL_M__SAMN25042279__R1__e75f95988e6678bc7fa72f97eb5a7e0f	FI_19_R_19FI037_BL_ADL_M__SAMN25042279__R1__e75f95988e6678bc7fa72f97eb5a7e0f.fq.gz	Conventional base calls	Sanger / Illumina 1.9	88369010.0	0.0	150.0	42.0	81.4762195330083	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	pass
FI_19_R_19FI037_BL_ADL_M__SAMN25042279__R2__3d331f8ce8692bb03577a77f5c1dd4b2	FI_19_R_19FI037_BL_ADL_M__SAMN25042279__R2__3d331f8ce8692bb03577a77f5c1dd4b2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	88369010.0	0.0	150.0	42.0	82.87621911681772	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	pass
FI_19_R_19FI052_BL_ADL_F__SAMN25042280__R1__89821127d0ffd190c185296fde18b10f	FI_19_R_19FI052_BL_ADL_F__SAMN25042280__R1__89821127d0ffd190c185296fde18b10f.fq.gz	Conventional base calls	Sanger / Illumina 1.9	82706229.0	0.0	150.0	43.0	81.22794721007544	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	pass
