chr	start	end	length	nCG	areaStat	var
chr08	29322352	29322458	107	9	-24.5200328709422	sex.rrbsmale
chr01	111488929	111488991	63	7	-23.7792728960023	sex.rrbsmale
chr23	1496853	1497111	259	7	-23.4797592772444	sex.rrbsmale
chr04	26662271	26662398	128	8	23.4322532345413	sex.rrbsmale
chr05	48969338	48969419	82	6	-23.395655484338	sex.rrbsmale
chr10	1994785	1994863	79	8	23.3234565589358	sex.rrbsmale
chr26	3526879	3526976	98	8	23.1958120171726	sex.rrbsmale
chr31	1215608	1215679	72	9	-23.128585134201	sex.rrbsmale
chr19	4123054	4123229	176	7	-22.2876184601956	sex.rrbsmale
chr14	13944773	13944824	52	9	22.0755558506123	sex.rrbsmale
chr01A	67077241	67077347	107	6	21.9597424645364	sex.rrbsmale
chr04A	8025642	8025714	73	7	21.7971212249257	sex.rrbsmale
chr22	4091756	4091821	66	6	-21.5491946006401	sex.rrbsmale
chr13	1819239	1819300	62	9	-21.3109427008677	sex.rrbsmale
chr18	10674500	10674555	56	7	21.1368591727681	sex.rrbsmale
chr04	62404820	62404885	66	7	21.1044401109998	sex.rrbsmale
chr01A	46858095	46858198	104	6	-20.665690421739	sex.rrbsmale
chr13	6954712	6954779	68	6	-20.6294711804442	sex.rrbsmale
chr03	102682114	102682192	79	7	20.5845972337489	sex.rrbsmale
chr14	15647899	15647953	55	6	20.1576792594612	sex.rrbsmale
chr25	624831	624961	131	8	-20.101876666575	sex.rrbsmale
chr27	4380049	4380160	112	6	20.009189475899	sex.rrbsmale
chr18	10639654	10639732	79	7	19.9546157594633	sex.rrbsmale
chr23	677879	677975	97	5	-19.9287958731409	sex.rrbsmale
chr12	3145559	3145624	66	7	-19.8970414290983	sex.rrbsmale
chr09	17529553	17529616	64	7	19.7144214541873	sex.rrbsmale
chr14	1931726	1931785	60	7	-19.4565701063351	sex.rrbsmale
chr07	8871798	8871893	96	7	-19.3343400321619	sex.rrbsmale
chr23	5128195	5128261	67	7	-19.3099282757771	sex.rrbsmale
chr05	39297907	39297970	64	7	19.1932513832715	sex.rrbsmale
chr02	49623299	49623396	98	8	-19.0989956205085	sex.rrbsmale
chr02	20547662	20547721	60	6	19.0808592542803	sex.rrbsmale
chr11	17682981	17683059	79	7	18.868943770699	sex.rrbsmale
chr14	15774583	15774637	55	7	18.5916748630133	sex.rrbsmale
chr23	4260409	4260514	106	7	-18.3968153622836	sex.rrbsmale
chr19	1678506	1683112	4607	7	-18.1503509230895	sex.rrbsmale
chr19	3788285	3788370	86	7	18.114878167501	sex.rrbsmale
chr11	20441575	20441692	118	7	18.04302900325	sex.rrbsmale
chr15	5189321	5189378	58	7	18.0244203477038	sex.rrbsmale
chr05	3293544	3293639	96	6	-18.006079080343	sex.rrbsmale
chr01	5116220	5116306	87	7	17.7762311104122	sex.rrbsmale
chr19	2247718	2247782	65	6	-17.3925747991798	sex.rrbsmale
chr09	24875848	24875904	57	6	17.2291673477619	sex.rrbsmale
chr24	5526277	5526334	58	6	-16.9064896291963	sex.rrbsmale
chr23	2461460	2461529	70	7	16.880288094503	sex.rrbsmale
chr04	5392510	5392565	56	7	16.6976954792099	sex.rrbsmale
chr02	101610719	101610807	89	4	16.6901666078731	sex.rrbsmale
chr09	24865446	24865510	65	7	16.610056728321	sex.rrbsmale
chr26	2493481	2493568	88	5	16.234187717584	sex.rrbsmale
chr20	570405	570496	92	4	16.0951370575062	sex.rrbsmale
chr02	155690215	155690305	91	7	-16.0813165744093	sex.rrbsmale
chr12	4817714	4817780	67	7	16.0670451799881	sex.rrbsmale
chr06	10040638	10040720	83	6	15.903592513071	sex.rrbsmale
chr01A	64224200	64224255	56	5	15.8516991974916	sex.rrbsmale
chr28	466405	466466	62	6	-15.8459810559986	sex.rrbsmale
chr03	63100783	63100889	107	5	-15.6289562841304	sex.rrbsmale
chr04	870959	871077	119	7	-15.5744507721852	sex.rrbsmale
chr18	10622548	10622612	65	5	15.1458546210412	sex.rrbsmale
chr01	117928581	117928695	115	4	15.1031265790083	sex.rrbsmale
chr26	3714862	3719895	5034	5	15.0832213066373	sex.rrbsmale
chr27	1746270	1746320	51	5	15.0375730143058	sex.rrbsmale
chr19	3558487	3558538	52	5	14.8863580283022	sex.rrbsmale
chr07	9201412	9201478	67	4	14.6007222583339	sex.rrbsmale
chr22	3726181	3726242	62	6	14.5991564888519	sex.rrbsmale
chr13	9338175	9338271	97	5	-14.0663117935004	sex.rrbsmale
chr10	15169939	15170002	64	6	14.0170423429669	sex.rrbsmale
chr18	10664764	10664883	120	4	13.9868975799893	sex.rrbsmale
chr26	6122680	6122947	268	4	13.7109112085269	sex.rrbsmale
chr15	12648058	12648119	62	5	-13.6838007390607	sex.rrbsmale
chr19	1678355	1678409	55	6	-13.4450683905254	sex.rrbsmale
chr28	1284359	1284420	62	5	-13.3274087768653	sex.rrbsmale
chr13	5360160	5361338	1179	5	-13.1844399104662	sex.rrbsmale
chr02	412202	412258	57	4	-13.0644233257585	sex.rrbsmale
chr24	5938675	5938769	95	4	-13.0594249286979	sex.rrbsmale
chr07	1761204	1761307	104	4	-13.0381783294683	sex.rrbsmale
chr04A	8593626	8593679	54	4	13.0166590680439	sex.rrbsmale
chr24	913224	913313	90	5	12.9830103670251	sex.rrbsmale
chr21	6049586	6049638	53	4	-12.8670267423162	sex.rrbsmale
chr17	10816567	10816617	51	5	-12.6431395987971	sex.rrbsmale
chr12	689618	689688	71	4	12.475892813087	sex.rrbsmale
chr06	22644667	22644718	52	5	-12.4387529592037	sex.rrbsmale
chr24	59457	59521	65	4	-12.3844660720198	sex.rrbsmale
chr04	923217	923272	56	4	12.0134032077804	sex.rrbsmale
chr01	94565355	94565413	59	4	-11.9844782216134	sex.rrbsmale
chr26	6383937	6384032	96	4	11.714311248382	sex.rrbsmale
chr17	7551985	7552895	911	4	-11.5671307197332	sex.rrbsmale
chr27	3611063	3611117	55	5	-11.4815194584481	sex.rrbsmale
chr27	4159245	4159317	73	5	-11.414467180064	sex.rrbsmale
chr01A	22378084	22378134	51	4	-11.4089805891372	sex.rrbsmale
chr06	1662516	1662630	115	4	-11.2296058074824	sex.rrbsmale
chr02	155178052	155178120	69	5	-11.2177664104405	sex.rrbsmale
chr11	8445367	8446358	992	7	-11.0697056159293	sex.rrbsmale
chr25	619045	619099	55	5	-11.053267356139	sex.rrbsmale
chr20	5062465	5062547	83	4	-10.9851646709088	sex.rrbsmale
chr13	6798177	6798227	51	4	-10.8909612625241	sex.rrbsmale
chr23	607200	607257	58	4	-10.2857909283959	sex.rrbsmale
chr23	1955056	1955108	53	5	-10.2652014944966	sex.rrbsmale
chr07	1761440	1761504	65	5	-10.1877342813157	sex.rrbsmale
chr01	56429549	56429601	53	4	-9.9411590620694	sex.rrbsmale
chr27	2726998	2727062	65	8	-9.63624100721159	sex.rrbsmale
chr27	835768	836866	1099	6	-8.82622600834664	sex.rrbsmale
chr11	19806237	19806287	51	4	7.74704427265333	sex.rrbsmale
chr17	2689967	2690498	532	4	-5.76695538834193	sex.rrbsmale
chr13	2092438	2095962	3525	4	5.4082293752164	sex.rrbsmale
chr03	37994800	37995693	894	4	-4.53929439084261	sex.rrbsmale
chr20	7031867	7033316	1450	5	2.54150459868185	sex.rrbsmale
